Note,Frequency (Hz),Wavelength (cm),Key Position
C0,16.35,2109.89,1
 C#0/Db0 ,17.32,1991.47,2
D0,18.35,1879.69,3
 D#0/Eb0 ,19.45,1774.2,4
E0,20.6,1674.62,5
F0,21.83,1580.63,6
 F#0/Gb0 ,23.12,1491.91,7
G0,24.5,1408.18,8
 G#0/Ab0 ,25.96,1329.14,9
A0,27.5,1254.55,10
 A#0/Bb0 ,29.14,1184.13,11
B0,30.87,1117.67,12
C1,32.7,1054.94,13
 C#1/Db1 ,34.65,995.73,14
D1,36.71,939.85,15
 D#1/Eb1 ,38.89,887.1,16
E1,41.2,837.31,17
F1,43.65,790.31,18
 F#1/Gb1 ,46.25,745.96,19
G1,49,704.09,20
 G#1/Ab1 ,51.91,664.57,21
A1,55,627.27,22
 A#1/Bb1 ,58.27,592.07,23
B1,61.74,558.84,24
C2,65.41,527.47,25
 C#2/Db2 ,69.3,497.87,26
D2,73.42,469.92,27
 D#2/Eb2 ,77.78,443.55,28
E2,82.41,418.65,29
F2,87.31,395.16,30
 F#2/Gb2 ,92.5,372.98,31
G2,98,352.04,32
 G#2/Ab2 ,103.83,332.29,33
A2,110,313.64,34
 A#2/Bb2 ,116.54,296.03,35
B2,123.47,279.42,36
C3,130.81,263.74,37
 C#3/Db3 ,138.59,248.93,38
D3,146.83,234.96,39
 D#3/Eb3 ,155.56,221.77,40
E3,164.81,209.33,41
F3,174.61,197.58,42
 F#3/Gb3 ,185,186.49,43
G3,196,176.02,44
 G#3/Ab3 ,207.65,166.14,45
A3,220,156.82,46
 A#3/Bb3 ,233.08,148.02,47
B3,246.94,139.71,48
C4,261.63,131.87,49
 C#4/Db4 ,277.18,124.47,50
D4,293.66,117.48,51
 D#4/Eb4 ,311.13,110.89,52
E4,329.63,104.66,53
F4,349.23,98.79,54
 F#4/Gb4 ,369.99,93.24,55
G4,392,88.01,56
 G#4/Ab4 ,415.3,83.07,57
A4,440,78.41,58
 A#4/Bb4 ,466.16,74.01,59
B4,493.88,69.85,60
C5,523.25,65.93,61
 C#5/Db5 ,554.37,62.23,62
D5,587.33,58.74,63
 D#5/Eb5 ,622.25,55.44,64
E5,659.25,52.33,65
F5,698.46,49.39,66
 F#5/Gb5 ,739.99,46.62,67
G5,783.99,44.01,68
 G#5/Ab5 ,830.61,41.54,69
A5,880,39.2,70
 A#5/Bb5 ,932.33,37,71
B5,987.77,34.93,72
C6,1046.5,32.97,73
 C#6/Db6 ,1108.73,31.12,74
D6,1174.66,29.37,75
 D#6/Eb6 ,1244.51,27.72,76
E6,1318.51,26.17,77
F6,1396.91,24.7,78
 F#6/Gb6 ,1479.98,23.31,79
G6,1567.98,22,80
 G#6/Ab6 ,1661.22,20.77,81
A6,1760,19.6,82
 A#6/Bb6 ,1864.66,18.5,83
B6,1975.53,17.46,84
C7,2093,16.48,85
 C#7/Db7 ,2217.46,15.56,86
D7,2349.32,14.69,87
 D#7/Eb7 ,2489.02,13.86,88
E7,2637.02,13.08,89
F7,2793.83,12.35,90
 F#7/Gb7 ,2959.96,11.66,91
G7,3135.96,11,92
 G#7/Ab7 ,3322.44,10.38,93
A7,3520,9.8,94
 A#7/Bb7 ,3729.31,9.25,95
B7,3951.07,8.73,96
C8,4186.01,8.24,97
 C#8/Db8 ,4434.92,7.78,98
D8,4698.63,7.34,99
 D#8/Eb8 ,4978.03,6.93,100
E8,5274.04,6.54,101
F8,5587.65,6.17,102
 F#8/Gb8 ,5919.91,5.83,103
G8,6271.93,5.5,104
 G#8/Ab8 ,6644.88,5.19,105
A8,7040,4.9,106
 A#8/Bb8 ,7458.62,4.63,107
B8,7902.13,4.37,108
